City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
10,Tura,IN,76.14,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
14,Cabadiangan,PH,77.32,scattered clouds,9.7531,122.4739,Kipot
19,Mana,GF,86.29,scattered clouds,5.6592,-53.7767,LE SAMANA
25,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Samana,DO,89.82,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
31,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
38,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
42,Giyani,ZA,77.77,clear sky,-23.3025,30.7187,Kulani Country Lodge
46,Hambantota,LK,79.72,overcast clouds,6.1241,81.1185,Bungalow 63
47,Butaritari,KI,83.7,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
48,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
49,Eusebio,BR,87.98,few clouds,-3.89,-38.4506,CONDOMINIO GRAN CLASSIC
52,Vila Velha,BR,79.97,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
63,Garden City,US,76.91,broken clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
69,Cururupu,BR,84.92,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
72,Riyadh,SA,86.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
76,Kikwit,CD,76.15,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
82,Namatanai,PG,79.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
83,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
89,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
92,Awbari,LY,80.33,clear sky,26.5921,12.7805,فندق أوباري
103,Port Blair,IN,79.32,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
104,Carutapera,BR,84.99,broken clouds,-1.195,-46.02,Lidera
107,Labuan,MY,77.16,thunderstorm with heavy rain,5.2767,115.2417,Tiara Labuan Hotel
109,Kavaratti,IN,81.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
113,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
117,Luanda,AO,75.2,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
119,Pafos,CY,75.11,clear sky,34.7667,32.4167,Elysium Hotel
121,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
122,Caravelas,BR,76.77,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
