City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Praia,CV,14.9215,-23.5087,82.94,69,20,12.66,few clouds
1,Ayan,RU,56.45,138.1667,44.94,59,32,5.64,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,46.06,46,20,6.91,few clouds
3,Guayaramerin,BO,-10.8368,-65.3614,95.05,41,0,8.05,clear sky
4,Busselton,AU,-33.65,115.3333,57.04,90,76,14.36,broken clouds
5,Kodiak,US,57.79,-152.4072,47.71,61,1,11.5,clear sky
6,Fort Nelson,CA,58.8053,-122.7002,47.79,49,90,6.91,overcast clouds
7,Castro,BR,-24.7911,-50.0119,66.92,78,26,11.21,scattered clouds
8,Hermanus,ZA,-34.4187,19.2345,60.91,90,1,8.97,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,59.29,88,1,4.61,clear sky
10,Tura,IN,25.5198,90.2201,76.14,87,39,3.09,scattered clouds
11,Yellowknife,CA,62.456,-114.3525,43.41,83,75,5.99,broken clouds
12,Souillac,MU,-20.5167,57.5167,70.36,94,75,12.66,light rain
13,Oga,IT,46.4631,10.347,54.64,96,100,2.91,light rain
14,Cabadiangan,PH,9.7531,122.4739,77.32,88,47,3.85,scattered clouds
15,Faya,SA,18.3851,42.4509,71.71,24,7,9.17,clear sky
16,Mehamn,NO,71.0357,27.8492,48.38,71,0,17.27,clear sky
17,Egvekinot,RU,66.3167,-179.1667,19.96,79,14,4.76,few clouds
18,Wick,GB,58.4333,-3.0833,59.05,88,40,6.91,scattered clouds
19,Mana,GF,5.6592,-53.7767,86.29,66,32,12.03,scattered clouds
20,Gari,RU,59.4307,62.3497,35.42,74,99,8.93,overcast clouds
21,Khatanga,RU,71.9667,102.5,32.09,86,100,8.14,overcast clouds
22,Norman Wells,CA,65.282,-126.8329,37.44,65,75,11.5,broken clouds
23,Saint-Augustin,CA,51.226,-58.6502,57.43,97,100,6.89,overcast clouds
24,Vysokogornyy,RU,50.1167,139.15,43.93,88,100,2.06,overcast clouds
25,Kapaa,US,22.0752,-159.319,80.92,78,20,4.0,light rain
26,Gedo,ET,9.0167,37.45,51.76,95,98,3.13,light rain
27,Port Alfred,ZA,-33.5906,26.891,64.89,91,26,17.22,scattered clouds
28,Samana,DO,19.2056,-69.3369,89.82,70,20,6.91,few clouds
29,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,90,0.0,light rain
30,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,12.66,light rain
31,Avarua,CK,-21.2078,-159.775,77.05,69,90,2.3,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,62.11,75,0,1.99,clear sky
33,Cabo San Lucas,MX,22.8909,-109.9124,95.61,65,7,1.01,clear sky
34,Barrow,US,71.2906,-156.7887,26.62,80,90,9.22,overcast clouds
35,San Vicente De Canete,PE,-13.0751,-76.3835,67.66,71,44,9.4,scattered clouds
36,Tupik,RU,54.4253,119.9327,47.53,92,100,6.26,light rain
37,Saldanha,ZA,-33.0117,17.9442,60.85,87,0,21.85,clear sky
38,Bengkulu,ID,-3.8004,102.2655,75.38,89,100,3.65,overcast clouds
39,Jamestown,US,42.097,-79.2353,69.12,45,75,10.0,broken clouds
40,Severo-Kurilsk,RU,50.6789,156.125,48.67,92,100,11.32,overcast clouds
41,Tilichiki,RU,60.4667,166.1,39.76,95,100,5.5,light rain
42,Giyani,ZA,-23.3025,30.7187,77.77,23,0,8.08,clear sky
43,Rikitea,PF,-23.1203,-134.9692,73.54,75,6,18.63,clear sky
44,Airai,TL,-8.9266,125.4092,57.79,74,69,2.44,broken clouds
45,Saskylakh,RU,71.9167,114.0833,34.09,98,100,9.89,overcast clouds
46,Hambantota,LK,6.1241,81.1185,79.72,83,100,25.03,overcast clouds
47,Butaritari,KI,3.0707,172.7902,83.7,73,100,16.24,overcast clouds
48,Ponta Do Sol,PT,32.6667,-17.1,75.0,72,58,1.28,broken clouds
49,Eusebio,BR,-3.89,-38.4506,87.98,60,20,13.8,few clouds
50,Tiksi,RU,71.6872,128.8694,34.05,96,100,10.74,overcast clouds
51,Adrar,MR,20.5022,-10.0711,100.13,12,38,9.71,scattered clouds
52,Vila Velha,BR,-20.3297,-40.2925,79.97,67,0,20.71,clear sky
53,Punta Arenas,CL,-53.15,-70.9167,48.31,49,40,18.41,scattered clouds
54,Beloha,MG,-25.1667,45.05,71.71,68,4,8.16,clear sky
55,Kharovsk,RU,59.9642,40.1912,43.7,97,100,5.95,overcast clouds
56,Dikson,RU,73.5069,80.5464,36.54,85,100,21.61,overcast clouds
57,Esperance,AU,-33.8667,121.9,56.21,89,40,16.33,scattered clouds
58,Kaitangata,NZ,-46.2817,169.8464,33.22,90,22,5.26,few clouds
59,Chistoye,RU,56.5375,43.0045,49.6,90,100,8.37,light rain
60,Lompoc,US,34.6391,-120.4579,65.93,82,90,4.61,overcast clouds
61,Marawi,PH,7.9986,124.2928,65.64,91,100,3.27,overcast clouds
62,Ribeira Grande,PT,38.5167,-28.7,68.4,77,75,20.71,broken clouds
63,Garden City,US,42.3256,-83.331,76.91,46,75,13.8,broken clouds
64,Qaanaaq,GL,77.484,-69.3632,20.52,67,20,6.87,few clouds
65,Bluff,NZ,-46.6,168.3333,38.79,80,21,7.96,few clouds
66,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,16.11,light snow
67,Hobart,AU,-42.8794,147.3294,39.27,90,3,4.0,clear sky
68,Ariquemes,BR,-9.9133,-63.0408,98.4,29,100,3.04,overcast clouds
69,Cururupu,BR,-1.8283,-44.8683,84.92,62,40,7.07,scattered clouds
70,Albany,US,42.6001,-73.9662,69.39,48,6,1.99,clear sky
71,San Rafael,AR,-34.6177,-68.3301,64.09,19,3,8.46,clear sky
72,Riyadh,SA,24.6877,46.7219,86.14,23,92,11.97,overcast clouds
73,Yar-Sale,RU,66.8333,70.8333,33.31,83,0,7.52,clear sky
74,Lebu,CL,-37.6167,-73.65,52.02,58,79,21.21,broken clouds
75,Port Augusta,AU,-32.5,137.7667,44.74,40,9,7.49,clear sky
76,Kikwit,CD,-5.041,18.8162,76.15,74,97,1.5,overcast clouds
77,Kinchil,MX,20.9167,-89.95,94.05,33,27,3.67,scattered clouds
78,Seoul,KR,37.5683,126.9778,69.24,64,0,4.61,clear sky
79,Mataura,NZ,-46.1927,168.8643,30.04,97,4,2.39,clear sky
80,Saryg-Sep,RU,51.5,95.6,34.09,88,100,1.63,light rain
81,Grajau,BR,-5.8194,-46.1386,97.81,26,100,5.44,overcast clouds
82,Namatanai,PG,-3.6667,152.4333,79.25,80,95,3.74,overcast clouds
83,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,82,9.24,broken clouds
84,Torbay,CA,47.6666,-52.7314,63.37,62,90,13.8,overcast clouds
85,Yelizovo,RU,53.1873,158.3805,35.74,100,0,6.71,clear sky
86,Evensk,RU,61.95,159.2333,36.32,79,71,10.0,broken clouds
87,Mujiayingzi,CN,42.1167,118.7833,58.28,88,100,5.82,overcast clouds
88,Ginir,ET,7.1333,40.7,62.11,71,100,4.68,light rain
89,Hilo,US,19.7297,-155.09,78.8,91,90,6.91,light rain
90,Chara,RU,56.9064,118.2631,42.28,97,100,1.57,light rain
91,Chiradzulu,MW,-15.6746,35.1407,73.58,31,72,3.76,broken clouds
92,Awbari,LY,26.5921,12.7805,80.33,22,0,6.06,clear sky
