City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kargasok,RU,2021-09-22 22:28:08,59.0556,80.8572,32.83,89,100,5.55
1,Poum,NC,2021-09-22 22:28:08,-20.2333,164.0167,71.2,65,57,21.18
2,Neuquen,AR,2021-09-22 22:28:09,-38.9516,-68.0591,67.89,30,0,13.8
3,Cidreira,BR,2021-09-22 22:28:09,-30.1811,-50.2056,62.02,71,10,15.43
4,Albany,US,2021-09-22 22:26:18,42.6001,-73.9662,76.64,78,88,11.1
5,Ushuaia,AR,2021-09-22 22:28:09,-54.8,-68.3,44.22,87,75,28.77
6,Yellowknife,CA,2021-09-22 22:28:10,62.456,-114.3525,50.52,81,90,8.05
7,Novo Aripuana,BR,2021-09-22 22:28:10,-5.1206,-60.3797,79.27,72,99,3.06
8,Tsurib,RU,2021-09-22 22:28:10,42.2368,46.8307,51.28,98,85,3.11
9,Hermanus,ZA,2021-09-22 22:28:11,-34.4187,19.2345,67.89,66,47,11.65
10,Tasiilaq,GL,2021-09-22 22:28:11,65.6145,-37.6368,33.96,70,3,4.05
11,Dikson,RU,2021-09-22 22:28:11,73.5069,80.5464,35.8,98,100,8.52
12,Kushmurun,KZ,2021-09-22 22:28:12,52.4503,64.6311,41.4,76,16,8.5
13,Punta Arenas,CL,2021-09-22 22:28:12,-53.15,-70.9167,44.71,70,40,11.5
14,Cape Town,ZA,2021-09-22 22:28:13,-33.9258,18.4232,68.11,82,0,5.75
15,Marrakesh,MA,2021-09-22 22:23:41,31.6315,-8.0083,73.47,64,0,4.61
16,Salalah,OM,2021-09-22 22:28:13,17.0151,54.0924,80.69,89,0,2.3
17,Bluff,NZ,2021-09-22 22:28:14,-46.6,168.3333,53.8,65,17,8.81
18,Russell,US,2021-09-22 22:28:14,32.3502,-85.1999,75.11,65,20,14.97
19,Rikitea,PF,2021-09-22 22:28:14,-23.1203,-134.9692,73.47,75,38,19.53
20,Puerto Ayora,EC,2021-09-22 22:28:15,-0.7393,-90.3518,76.96,84,75,10.56
21,Mataura,NZ,2021-09-22 22:28:15,-46.1927,168.8643,53.47,48,5,3.53
22,Nikolskoye,RU,2021-09-22 22:28:15,59.7035,30.7861,46.29,72,100,3.11
23,Emerald,AU,2021-09-22 22:28:16,-23.5333,148.1667,62.74,20,0,11.5
24,Vardo,NO,2021-09-22 22:28:16,70.3705,31.1107,46.6,75,100,30.04
25,Busselton,AU,2021-09-22 22:28:16,-33.65,115.3333,52.09,92,0,9.53
26,The Valley,AI,2021-09-22 22:28:17,18.217,-63.0578,84.34,70,20,8.05
27,Oussouye,SN,2021-09-22 22:28:17,12.485,-16.5469,84.29,88,94,5.1
28,Qaanaaq,GL,2021-09-22 22:28:17,77.484,-69.3632,11.25,62,10,7.27
29,Vestmannaeyjar,IS,2021-09-22 22:28:18,63.4427,-20.2734,42.66,64,13,14.41
30,Allingabro,DK,2021-09-22 22:28:18,56.465,10.3341,59.27,89,92,7.0
31,Solnechnyy,RU,2021-09-22 22:28:18,50.7214,136.6319,41.34,73,4,5.93
32,Khatanga,RU,2021-09-22 22:28:19,71.9667,102.5,33.94,99,100,7.81
33,Mahebourg,MU,2021-09-22 22:28:19,-20.4081,57.7,70.25,78,40,11.5
34,Maniitsoq,GL,2021-09-22 22:28:19,65.4167,-52.9,33.82,48,44,10.04
35,Acarau,BR,2021-09-22 22:28:20,-2.8856,-40.12,79.45,80,90,16.15
36,Cayenne,GF,2021-09-22 22:27:05,4.9333,-52.3333,84.09,80,0,5.01
37,Arlit,NE,2021-09-22 22:28:20,18.7369,7.3853,94.59,11,26,8.46
38,Ancud,CL,2021-09-22 22:28:20,-41.8697,-73.8203,53.42,85,99,14.38
39,Bethel,US,2021-09-22 22:28:21,41.3712,-73.414,76.05,85,75,1.01
40,Chokurdakh,RU,2021-09-22 22:28:21,70.6333,147.9167,29.59,74,91,1.07
41,Lagoa,PT,2021-09-22 22:28:21,39.05,-27.9833,70.25,75,0,13.78
42,South Patrick Shores,US,2021-09-22 22:28:22,28.2022,-80.6095,86.27,77,1,11.5
43,Mutare,ZW,2021-09-22 22:28:22,-18.9707,32.6709,56.84,91,52,4.56
44,Manitouwadge,CA,2021-09-22 22:28:23,49.1215,-85.8403,54.32,49,34,3.58
45,San Patricio,US,2021-09-22 22:28:23,28.017,-97.5169,89.69,21,26,12.77
46,Miri,MY,2021-09-22 22:28:23,4.4148,114.0089,78.94,94,40,0.0
47,Saint George,US,2021-09-22 22:24:35,37.1041,-113.5841,94.42,13,1,7.0
48,Hobart,AU,2021-09-22 22:28:24,-42.8794,147.3294,61.27,53,75,13.0
49,Fortuna,US,2021-09-22 22:28:24,40.5982,-124.1573,91.18,73,1,1.99
50,George,ZA,2021-09-22 22:28:24,-33.963,22.4617,53.15,94,20,5.75
51,Chuy,UY,2021-09-22 22:28:25,-33.6971,-53.4616,54.05,84,96,7.4
52,Yumbe,UG,2021-09-22 22:28:25,3.4651,31.2469,65.19,94,6,4.65
